,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
58958,706/8 Michael Street ,BRUNSWICK VIC 3056,BRUNSWICK,VIC,3056,New apartments / off the plan,16-Jun-22,private treaty,950000,2,2,1,90,Realco,-37.7726931,144.9603541,4.625346924
58960,47/1-15 Beddison Road ,CRAIGIEBURN VIC 3064,CRAIGIEBURN,VIC,3064,Townhouse,17-Jun-22,private treaty,392000,2,1,1,90,Brad Teal Woodards Sunbury,-37.6022613,144.9430882,23.64194002
58971,6 Oak Court ,HEIDELBERG WEST VIC 3081,HEIDELBERG WEST,VIC,3081,House,11-May-21,private treaty,1200000,3,1,2,910,Miles Real Estate Ivanhoe,-37.7423858,145.04169,10.55939676
58984,13 Hartington Street ,GLENROY VIC 3046,GLENROY,VIC,3046,House,25-Nov-21,private treaty,1180000,3,1,2,911,Stockdale & Leggo Glenroy,-37.7049681,144.9179219,12.7864042
58997,109 Kooyong Road ,ARMADALE VIC 3143,ARMADALE,VIC,3143,House,26-Mar-18,private treaty,4240000,5,2,3,913, Jellis Craig Stonnington,-37.857571,145.02036,6.964294286
59001,56 Green Valley Crescent ,HAMPTON PARK VIC 3976,HAMPTON PARK,VIC,3976,House,3-Mar-22,private treaty,800000,3,1,4,913,UNKNOWN,-38.0287839,145.2638062,35.57369101
59004,5 Kurrajong Crescent ,MELTON SOUTH VIC 3338,MELTON SOUTH,VIC,3338,House,26-Feb-22,auction,542000,3,1,0,914,UNKNOWN,-37.7014364,144.5717733,36.63302294
59007,16 Venice Street ,MORNINGTON VIC 3931,MORNINGTON,VIC,3931,House,26-Mar-22,auction,1825000,4,2,2,914,Eview Real Estate - Mornington Peninsula,-38.2305384,145.0354724,46.73876675
59020,26 Darrambal Crescent ,LEOPOLD VIC 3224,LEOPOLD,VIC,3224,House,9-Jul-22,auction,555000,3,1,4,916,Hayeswinckle Newtown,-38.1807232,144.4669587,59.61191771
59026,10 Darley Court ,FRANKSTON NORTH VIC 3200,FRANKSTON NORTH,VIC,3200,House,13-Jun-22,private treaty,785000,4,2,2,917,Hockingstuart Frankston,-38.1167053,145.1566947,37.68358971
59039,2 Leon Court ,OCEAN GROVE VIC 3226,OCEAN GROVE,VIC,3226,House,7-Jun-22,private treaty,1200000,4,2,1,918,Hayden Real Estate Ocean Grove,-38.2623748,144.5169571,63.34689205
