,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
59456,6 Gresswell Road ,MACLEOD VIC 3085,MACLEOD,VIC,3085,House,14-Jan-21,private treaty,1430000,4,2,2,957,Ray White MacLeod,-37.711254,145.06495,14.53535483
59463,1 & 2/13 Henderson Road ,KEYSBOROUGH VIC 3173,KEYSBOROUGH,VIC,3173,House,2-Dec-21,private treaty,1216000,5,3,2,958,Area Specialist Keysborough,-38.0053607,145.1674069,27.80826142
59469,69 Stokes Street ,QUEENSCLIFF VIC 3225,QUEENSCLIFF,VIC,3225,House,28-Dec-19,private treaty,1800000,2,1,1,959,Fletchers Bellarine,-38.267649,144.6562011,57.15561757
59472,1301/620 Collins Street ,MELBOURNE VIC 3000,MELBOURNE,VIC,3000,Apartment ,13-Apr-22,private treaty,663000,2,2,1,95,Harcourts Melbourne City,-37.8142176,144.9631608,0.0
59477,72 Clarendon Street ,THORNBURY VIC 3071,THORNBURY,VIC,3071,House,10-Sep-19,private treaty,2035000,3,1,4,960,UNKNOWN,-37.760719,145.0114641,7.31019629
59481,90 Westmoreland Road ,SUNSHINE NORTH VIC 3020,SUNSHINE NORTH,VIC,3020,House,24-Jun-21,private treaty,1070000,2,1,1,960,Sweeney Estate Agents Sunshine,-37.7774852,144.8345914,12.01637688
59482,38 Cairn Road ,MCCRAE VIC 3938,MCCRAE,VIC,3938,House,18-Jul-21,auction,1390000,3,2,3,960,GRANGER,-38.3588152,144.9307982,60.64172092
59486,19 Lindsay Street ,MCKINNON VIC 3204,MCKINNON,VIC,3204,House,9-Mar-18,private treaty,1850000,4,2,2,960,Jellis Craig Bentleigh,-37.9139272,145.0447918,13.20555272
59487,8 Broadwater Drive ,WATERWAYS VIC 3195,WATERWAYS,VIC,3195,Townhouse,26-May-17,private treaty,1600000,5,2,4,960,Biggin & Scott Greater Dandenong,-38.0131148,145.1326808,26.65959218
59488,3 Bass Court ,BALNARRING BEACH VIC 3926,BALNARRING BEACH,VIC,3926,House,24-Mar-18,private treaty,3600000,2,1,0,960,Kay & Burton Flinders,-38.395869,145.1142937,66.03538397
59497,98 Castlewood Street ,BENTLEIGH EAST VIC 3165,BENTLEIGH EAST,VIC,3165,House,15-Feb-20,auction,1480000,3,2,4,961,Buxton Real Estate Bentleigh,-37.9158522,145.0672084,14.53530866
59500,8 Toolern Avenue ,DROMANA VIC 3936,DROMANA,VIC,3936,House,19-Jan-22,auction,1265000,3,2,2,962,UNKNOWN,-38.3447615,144.976309,59.02353678
59501,3 Robertson Road ,KINGLAKE VIC 3763,KINGLAKE,VIC,3763,House,30-Jan-16,private treaty,290000,2,1,0,962,Integrity Real Estate Yarra Valley,-37.5310768,145.3417829,45.85844424
59502,28 Kelly Street ,CHADSTONE VIC 3148,CHADSTONE,VIC,3148,House,18-Dec-21,auction,1615000,3,1,2,962,Shelter Real Estate,-37.8850153,145.0944589,13.9641282
59504,6 Lanvos Drive ,DIAMOND CREEK VIC 3089,DIAMOND CREEK,VIC,3089,House,12-Feb-22,auction,1285000,4,2,2,962,UNKNOWN,-37.6671754,145.1563206,23.5832197
59508,28 Mailey Street ,SUNSHINE WEST VIC 3020,SUNSHINE WEST,VIC,3020,House,8-Apr-22,private treaty,1100000,5,3,2,962,Bells Real Estate Sunshine,-37.7919808,144.8187442,12.93082765
59516,28 Bournian Avenue ,STRATHMORE VIC 3041,STRATHMORE,VIC,3041,House,4-Sep-19,private treaty,1645000,3,2,2,964,JMRE Real Estate,-37.7345876,144.9213119,9.591036058
59517,11 Eugene Street ,VIEWBANK VIC 3084,VIEWBANK,VIC,3084,House,18-Jun-22,auction,1400000,3,2,2,964,Miles Real Estate Ivanhoe,-37.7300868,145.0994414,15.20325518
59521,112 Civic Parade ,ALTONA VIC 3018,ALTONA,VIC,3018,House,20-Aug-21,private treaty,2000000,4,3,6,964, @realty,-37.863077,144.8122488,14.32727253
59524,36 Harleian Street ,BLAIRGOWRIE VIC 3942,BLAIRGOWRIE,VIC,3942,House,17-Sep-21,private treaty,1700000,3,2,2,965,UNKNOWN,-38.3681046,144.7758788,63.75284922
59533,26 Stephen Street ,NEWTOWN VIC 3220,NEWTOWN,VIC,3220,House,18-Jun-22,auction,3158000,6,2,0,966,Buxton Newtown,-38.1484415,144.3309698,66.73842542
59534,49 View Road ,SPRINGVALE VIC 3171,SPRINGVALE,VIC,3171,House,22-Nov-21,auction,1400000,4,1,2,966,Barry Plant Noble Park,-37.9536985,145.158167,23.10346007
59539,16 Calrossie Close ,ENDEAVOUR HILLS VIC 3802,ENDEAVOUR HILLS,VIC,3802,House,19-Mar-22,auction,2450000,5,6,4,966,UNKNOWN,-37.9701771,145.2635097,31.55956794
59541,5 Rhonda Street ,MOUNT WAVERLEY VIC 3149,MOUNT WAVERLEY,VIC,3149,House,24-Feb-21,private treaty,1600000,4,2,2,967,Biggin & Scott Glen Waverley,-37.8883346,145.1330151,17.04430054
59542,639 Melbourne Road ,SORRENTO VIC 3943,SORRENTO,VIC,3943,House,17-Apr-21,auction,1705000,3,3,2,967,RT Edgar Portsea,-38.3395587,144.7362336,61.71928079
59543,7 Bayview Parade ,HAMLYN HEIGHTS VIC 3215,HAMLYN HEIGHTS,VIC,3215,House,19-Oct-21,private treaty,1470000,5,2,2,967,Buxton Newtown,-38.1291789,144.3303811,65.61889393
59544,10 Danielle Court ,PORTARLINGTON VIC 3223,PORTARLINGTON,VIC,3223,House,23-Aug-21,private treaty,1035000,4,2,2,968,Neville Richards Real Estate,-38.1234046,144.6318196,45.02094988
59545,17 Leila Road ,ORMOND VIC 3204,ORMOND,VIC,3204,House,27-May-19,private treaty,1590000,4,2,2,968,Woodards Carnegie,-37.9003395,145.0432475,11.88403215
59549,20 Damian Court ,CRANBOURNE VIC 3977,CRANBOURNE,VIC,3977,House,3-May-22,private treaty,810000,3,2,2,968,Casey Estate Agents,-38.0969894,145.2744874,41.65086064
59552,16 Stansfield Court ,FRANKSTON SOUTH VIC 3199,FRANKSTON SOUTH,VIC,3199,House,21-Mar-21,auction,1375100,5,2,3,968,Biggin & Scott Seaford,-38.1822882,145.1567201,44.31657702
59556,15 Kinnear Court ,MONTMORENCY VIC 3094,MONTMORENCY,VIC,3094,House,18-Dec-21,auction,1606000,5,3,3,969,Jellis Craig Eltham,-37.7196104,145.1299539,18.05055001
59557,7/9-11 Newton Street ,THOMASTOWN VIC 3074,THOMASTOWN,VIC,3074,Apartment ,11-Mar-22,auction,310000,1,1,1,96,     Love & Co,-37.6849134,145.011641,15.00118716
59559,600 Konagaderra Road ,CLARKEFIELD VIC 3430,CLARKEFIELD,VIC,3430,House,24-Dec-21,private treaty,5600000,4,2,4,971200,UNKNOWN,-37.5042539,144.7659186,38.60487046
59563,235 Clayton Road ,CLAYTON VIC 3168,CLAYTON,VIC,3168,House,10-Dec-20,private treaty,2195000,4,2,2,970,Harcourts First,-37.9131132,145.1219918,17.76326676
59564,25 Glenleith Avenue ,DRUMCONDRA VIC 3215,DRUMCONDRA,VIC,3215,House,3-Mar-21,auction,1953000,5,3,2,970,Buxton Newtown,-38.132296,144.3518176,64.22681149
59566,137 Waiora Road ,HEIDELBERG HEIGHTS VIC 3081,HEIDELBERG HEIGHTS,VIC,3081,House,8-May-21,auction,1420000,4,2,2,970,Nelson Alexander Ivanhoe,-37.7355522,145.0598681,12.20048535
59567,107 Esplanade ,WILLIAMSTOWN VIC 3016,WILLIAMSTOWN,VIC,3016,House,3-Mar-18,auction,4750000,4,2,2,970,Jellis Craig Inner West,-37.8672609,144.8885074,8.821099102
59571,16 Woods Street ,ASCOT VALE VIC 3032,ASCOT VALE,VIC,3032,House,22-Nov-18,private treaty,2525000,4,2,2,971,McDonald Upton,-37.7731784,144.9003994,7.160234874
59573,47 Jones Road ,DANDENONG VIC 3175,DANDENONG,VIC,3175,House,19-Feb-22,auction,970000,3,2,1,971,UNKNOWN,-37.9821709,145.2009244,28.00905764
59574,11 Kooringa Road ,CARNEGIE VIC 3163,CARNEGIE,VIC,3163,House,24-Apr-21,auction,2525000,4,1,2,971,Ray White Carnegie,-37.8996963,145.0483332,12.09740284
59575,153 Bellerine Street ,GEELONG VIC 3220,GEELONG,VIC,3220,House,6-Oct-20,private treaty,1680000,5,2,2,971,Whitford,-38.1467368,144.3666186,64.05727212
59579,19 Linlithgow Way ,GREENVALE VIC 3059,GREENVALE,VIC,3059,House,1-Jul-22,private treaty,1300000,5,4,2,972,Jason Real Estate Sales PTY LTD,-37.6438413,144.902019,19.69947967
59582,441 Ballarto Road ,SKYE VIC 3977,SKYE,VIC,3977,House,9-May-22,private treaty,890000,4,2,2,972,Hockingstuart Cranbourne,-38.1216755,145.2299285,41.43357479
59584,12 Mernda Street ,SUNSHINE WEST VIC 3020,SUNSHINE WEST,VIC,3020,House,14-Aug-21,auction,1450000,4,3,2,972,Bells Real Estate Sunshine,-37.7874136,144.8240628,12.58331905
59586,169-171 Boundary Road ,WHITTINGTON VIC 3219,WHITTINGTON,VIC,3219,House,26-Oct-21,private treaty,1000000,4,2,0,972,Fletchers Bellarine,-38.1709763,144.3841278,64.42805313
59594,179 Research Warrandyte Road ,NORTH WARRANDYTE VIC 3113,NORTH WARRANDYTE,VIC,3113,House,2-Oct-21,auction,1217000,4,2,2,973,Jellis Craig Eltham,-37.7347579,145.2208891,24.32193734
59600,117 Clifton Springs Road ,CLIFTON SPRINGS VIC 3222,CLIFTON SPRINGS,VIC,3222,House,21-Apr-22,private treaty,980000,4,2,3,974,Hayeswinckle Drysdale,-38.15307,144.5726575,50.91780013
59608,1 Hunts Cross Way ,CAROLINE SPRINGS VIC 3023,CAROLINE SPRINGS,VIC,3023,House,6-Dec-21,private treaty,1528000,5,4,4,975,UNKNOWN,-37.7381595,144.7271513,22.40764571
59611,3732 Point Nepean Road ,PORTSEA VIC 3944,PORTSEA,VIC,3944,House,1-Apr-19,private treaty,5000000,4,4,3,975,RT Edgar Portsea,-38.3189434,144.7046126,60.53411566
59612,22 Waldemar Road ,EAGLEMONT VIC 3084,EAGLEMONT,VIC,3084,House,2-Apr-20,private treaty,2000000,4,2,1,975,Miles Real Estate Ivanhoe,-37.7616832,145.0543807,9.921785121
59615,10 Clearwater Vista ,NARRE WARREN NORTH VIC 3804,NARRE,VIC,3804,House,15-Dec-21,private treaty,1580000,4,3,2,976,UNKNOWN,-37.9824679,145.3221144,36.64495563
59624,16 Burns Close ,DROMANA VIC 3936,DROMANA,VIC,3936,House,19-Oct-21,private treaty,1107000,3,2,3,977,MJ Ross & Co,-38.3452057,144.9617846,59.06184072
59625,89 Verdon Street ,WILLIAMSTOWN VIC 3016,WILLIAMSTOWN,VIC,3016,House,15-Mar-18,private treaty,3400000,5,4,3,977,Jellis Craig Inner West,-37.8603398,144.8938253,7.963395587
59627,25 Chaucer Crescent ,BUNDOORA VIC 3083,BUNDOORA,VIC,3083,House,29-Jan-22,auction,1080000,4,2,2,977,Ray White Bundoora,-37.6960272,145.0640157,15.85847824
59631,69 Telopea Crescent ,MILL PARK VIC 3082,MILL PARK,VIC,3082,House,20-Apr-22,private treaty,1630000,6,3,5,977,Ray White Epping,-37.6680509,145.0724684,18.8882362
59634,2 Shane Court ,AVONDALE HEIGHTS VIC 3034,AVONDALE HEIGHTS,VIC,3034,House,14-Nov-21,auction,1820000,5,4,4,978,Harcourts Vision,-37.7583852,144.8725009,10.10343224
59635,61 First Street ,BLACK ROCK VIC 3193,BLACK ROCK,VIC,3193,House,21-Mar-20,auction,2300000,4,3,3,978,Buxton Real Estate Sandringham,-37.9772986,145.0215779,18.85025572
59637,89 Bluff Road ,BLACK ROCK VIC 3193,BLACK ROCK,VIC,3193,House,24-Dec-19,private treaty,2240000,5,2,2,978,Marshall White Bayside,-37.9755321,145.0161715,18.53649386
59638,56 Sunnyside Crescent ,WATTLE GLEN VIC 3096,WATTLE GLEN,VIC,3096,House,8-Apr-22,private treaty,950000,3,2,1,979,Jellis Craig Eltham,-37.6689303,145.1810767,25.07084722
59641,67 Banksia Street ,EAGLEMONT VIC 3084,EAGLEMONT,VIC,3084,House,9-Sep-17,auction,1867000,4,3,2,979,Nelson Alexander Ivanhoe,-37.7598605,145.0696824,11.14605476
59646,2/60 Leonard Avenue ,GLENROY VIC 3046,GLENROY,VIC,3046,Apartment ,30-Apr-22,auction,340000,1,1,1,97,McGrath Coburg / Brunswick,-37.7024407,144.9305849,12.75868266
59648,8/270A Pakington Street ,NEWTOWN VIC 3220,NEWTOWN,VIC,3220,Apartment ,30-May-22,private treaty,500000,2,1,1,97,McGrath Geelong | Newtown,-38.1539124,144.3350959,66.77901646
59651,6 Aberdeen Crescent ,ESSENDON VIC 3040,ESSENDON,VIC,3040,House,24-Dec-21,private treaty,3550000,4,4,4,980,Alexkarbon Real Estate Pty Ltd,-37.7546458,144.9009699,8.590371874
59652,95 Carr Street ,BARWON HEADS VIC 3227,BARWON HEADS,VIC,3227,House,16-Jun-20,private treaty,1500000,4,3,4,980,Bellarine Property Pty Ltd,-38.2717552,144.496624,65.26984243
59653,3 Worrowing Court ,KURUNJANG VIC 3337,KURUNJANG,VIC,3337,House,20-Jun-22,private treaty,760000,4,2,2,980,Harcourts West Realty,-37.6738673,144.596183,35.85459934
59654,52 Elizabeth Street ,MALVERN VIC 3144,MALVERN,VIC,3144,House,27-Aug-16,auction,6200000,5,3,2,980,Marshall White Stonnington,-37.8488166,145.0364272,7.499309658
59656,86 Rennie Street ,COBURG VIC 3058,COBURG,VIC,3058,House,1-Jul-20,private treaty,1675000,5,2,6,980,Nelson Alexander | Coburg,-37.7506971,144.9692105,7.085362279
59657,2-4 Moorhen Drive ,LARA VIC 3212,LARA,VIC,3212,House,15-Jun-21,auction,1480000,5,3,4,980,Ray White Lara,-38.0275343,144.3832767,56.14196994
59658,22 Grosvenor Drive ,WANDANA HEIGHTS VIC 3216,WANDANA HEIGHTS,VIC,3216,House,29-Sep-21,private treaty,1350000,5,3,3,980,Ray White Highton,-38.1729508,144.3024629,70.33000245
59667,6 Dunstan Street ,CLAYTON VIC 3168,CLAYTON,VIC,3168,House,31-Jul-21,auction,1920000,2,1,1,981,Darras & Zervas Estate Agents,-37.9252083,145.1172934,18.31864093
59669,39 Redwood Drive ,HOPPERS CROSSING VIC 3029,HOPPERS CROSSING,VIC,3029,House,12-Mar-22,private treaty,1100000,5,3,6,981,Barry Plant Tarneit,-37.8576509,144.6930419,24.21566332
59676,32 Keith Street ,TOOTGAROOK VIC 3941,TOOTGAROOK,VIC,3941,House,27-Apr-22,auction,1000000,3,2,2,982,UNKNOWN,-38.374158,144.8517137,63.04150124
59678,62-64 Hook Street ,ALTONA MEADOWS VIC 3028,ALTONA MEADOWS,VIC,3028,House,20-Aug-21,private treaty,1000000,5,3,5,982,Mancini Real Estate ,-37.8691375,144.7824112,17.01153754
59679,17 Arcadia Way ,ELTHAM NORTH VIC 3095,ELTHAM NORTH,VIC,3095,House,18-Jul-22,private treaty,1318000,5,3,2,982,UNKNOWN,-37.6893142,145.1519404,21.64845781
59680,18 Currawong Court ,CAPEL SOUND VIC 3940,CAPEL SOUND,VIC,3940,House,8-Jul-22,private treaty,835000,3,1,2,982,UNKNOWN,-38.3762962,144.8832535,62.90997544
59681,64 Hodgson Street ,HEIDELBERG VIC 3084,HEIDELBERG,VIC,3084,House,8-Oct-21,auction,1465000,3,2,3,982,Nelson Alexander Ivanhoe,-37.7485631,145.0734127,12.13555064
59684,12 Plenty Close ,TAYLORS LAKES VIC 3038,TAYLORS LAKES,VIC,3038,House,16-Mar-22,auction,1465000,4,3,2,983,Ray White Taylors Lakes,-37.6855141,144.782518,21.38557284
59685,16 Glencaple Court ,ENDEAVOUR HILLS VIC 3802,ENDEAVOUR HILLS,VIC,3802,House,11-Jan-22,private treaty,947000,5,2,2,983,UNKNOWN,-37.9590473,145.2645683,30.97744889
59686,44 Nockolds Crescent ,NOBLE PARK VIC 3174,NOBLE PARK,VIC,3174,House,12-Oct-21,private treaty,1100000,3,1,0,983,Area Specialist Keysborough,-37.9523542,145.1736512,24.03224071
59687,31 Alicia Street ,HAMPTON VIC 3188,HAMPTON,VIC,3188,House,29-Jun-21,private treaty,3220000,3,1,4,983,UNKNOWN,-37.94336515,145.0047941,14.82279978
59691,5 Luby Court ,MELTON VIC 3337,MELTON,VIC,3337,House,19-Jul-19,private treaty,380000,3,1,2,983,UNKNOWN,-37.6900934,144.574595,36.85626651
59693,48 Alamanda Boulevard ,POINT COOK VIC 3030,POINT COOK,VIC,3030,House,5-Jun-21,private treaty,1170000,4,2,2,983,Barry Plant Point Cook,-37.8989207,144.7420643,21.58205425
59695,4 Tattenham Street ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,House,10-Sep-15,private treaty,2000000,5,3,4,984,UNKNOWN,-37.8830435,145.0463913,10.58516614
59700,No Street Found,CHELSEA VIC 3196,CHELSEA,VIC,3196,House,6-May-21,private treaty,1580000,3,1,0,984,UNKNOWN,-38.0497386,145.121407,29.64831799
59702,7 Moyle Street ,YEA VIC 3717,YEA,VIC,3717,House,2-Jul-21,private treaty,420000,2,1,2,985,UNKNOWN,-37.2177048,145.4282953,78.01473961
59704,66 Roslyn Road ,BELMONT VIC 3216,BELMONT,VIC,3216,House,4-Oct-21,private treaty,1170000,5,1,5,985,Geelong Real Estate Co.,-38.1748662,144.3382819,67.89296345
59706,8 Winifred Street ,ESSENDON VIC 3040,ESSENDON,VIC,3040,House,14-Mar-20,auction,2310000,4,1,3,985,Brad Teal Woodards Essendon,-37.7458487,144.9115449,8.855589273
59707,6 Sunview Court ,SUNBURY VIC 3429,SUNBURY,VIC,3429,House,1-Feb-22,private treaty,975000,5,2,2,985,Brad Teal Woodards Sunbury,-37.5707868,144.7025978,35.48394974
59708,1 & 2/467 Warrigal Road ,ASHWOOD VIC 3147,ASHWOOD,VIC,3147,House,21-Apr-18,auction,1806000,4,2,2,985,Belle Property Glen Iris,-37.866672,145.1022346,13.53809839
59709,38 Cole Crescent ,COBURG VIC 3058,COBURG,VIC,3058,House,7-Nov-20,auction,2094000,4,2,4,986,Nelson Alexander | Coburg,-37.7472065,144.9786772,7.57742365
59710,94 Jasper Road ,BENTLEIGH VIC 3204,BENTLEIGH,VIC,3204,House,31-Aug-19,auction,1620000,4,2,2,986,Century 21 On Centre,-37.922317,145.0410284,13.8319597
59713,5 Bella Vista Drive ,TOOTGAROOK VIC 3941,TOOTGAROOK,VIC,3941,House,14-Sep-21,private treaty,1700000,3,3,1,986,GRANGER,-38.3797597,144.8446762,63.75439632
59716,5 Louis Buvelot Wynd ,DIAMOND CREEK VIC 3089,DIAMOND CREEK,VIC,3089,House,14-May-21,private treaty,1420000,4,3,2,987,Ray White Diamond Creek,-37.6798154,145.1324278,21.09789374
59717,45 Myers Avenue ,GLEN WAVERLEY VIC 3150,GLEN WAVERLEY,VIC,3150,House,4-Jun-16,auction,2089000,3,1,3,987,Ray White Glen Waverley,-37.8775337,145.1584102,18.53932233
59718,9-11 Scullin Street ,DANDENONG NORTH VIC 3175,DANDENONG NORTH,VIC,3175,House,17-Nov-21,private treaty,950000,5,2,4,987,UNKNOWN,-37.9657578,145.2134603,27.69245617
59719,10 Peary Street ,BELMONT VIC 3216,BELMONT,VIC,3216,House,1-Nov-21,auction,1950000,4,3,4,987,Whitford,-38.1734056,144.3407636,67.62190878
59720,6 Newland Drive ,CLYDE VIC 3978,CLYDE,VIC,3978,House,17-May-21,private treaty,1450000,5,6,2,987,Fletchers Cranbourne,-38.1281976,145.3210115,46.94948996
59723,70 Tallow Wood Drive ,GREENSBOROUGH VIC 3088,GREENSBOROUGH,VIC,3088,House,3-Jul-21,auction,1260000,4,2,3,988,Darren Jones Real Estate,-37.6987,145.1259715,19.23778312
59725,4 Dougal Court ,HIGHTON VIC 3216,HIGHTON,VIC,3216,House,16-Oct-21,auction,1300000,4,2,2,988,Barry Plant Highton,-38.1736334,144.3134646,69.58139168
59727,8 Blackfriars Close ,TOORAK VIC 3142,TOORAK,VIC,3142,House,7-Dec-19,auction,5000000,4,3,2,988,Kay & Burton South Yarra,-37.8373301,145.012958,5.074486524
59729,99 South Road ,BRIGHTON VIC 3186,BRIGHTON,VIC,3186,House,24-Nov-20,private treaty,4750000,5,3,2,988,Hodges Real Estate Brighton,-37.9286638,144.9982305,13.09696119
59731,42 Reserve Road ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,House,1-Dec-20,private treaty,2070000,3,2,2,989,Hodges Real Estate Beaumaris,-37.9777898,145.0344716,19.24068419
59733,35 Woodbine Grove ,CHELSEA VIC 3196,CHELSEA,VIC,3196,House,29-May-21,auction,1710000,2,1,6,989,Barry Plant Bayside,-38.0547867,145.1187488,30.03869909
59734,41 Wilma Avenue ,DANDENONG VIC 3175,DANDENONG,VIC,3175,House,18-Oct-21,private treaty,1025000,3,1,1,989,Hall & Partners First National Dandenong,-37.9808598,145.2026103,28.02295011
59735,13 Valdoone Court ,OAK PARK VIC 3046,OAK PARK,VIC,3046,House,7-May-22,auction,1675000,4,2,2,989,Harcourts Coburg,-37.7156362,144.9076372,12.00297875
59736,2/17 Karoomba Avenue ,HERNE HILL VIC 3218,HERNE HILL,VIC,3218,Apartment ,27-May-22,private treaty,400000,1,1,1,98,Oslo Property,-38.1368352,144.3231465,66.60855644
59738,2 Helm Street ,ASPENDALE VIC 3195,ASPENDALE,VIC,3195,House,11-Dec-21,auction,1931000,3,2,7,990,UNKNOWN,-38.0189643,145.0985809,25.68774089
59739,96-98 Springthorpe Boulevard ,MACLEOD VIC 3085,MACLEOD,VIC,3085,House,27-Mar-21,auction,1960000,5,2,2,990,Barry Plant Bundoora,-37.7176129,145.0636012,13.90899515
59740,10 Fiddes Street ,RESERVOIR VIC 3073,RESERVOIR,VIC,3073,House,10-May-22,private treaty,1170000,4,1,6,990,UNKNOWN,-37.7069093,144.9874336,12.12522949
59743,76 Beauford Road ,RED HILL VIC 3937,RED HILL,VIC,3937,House,29-Nov-21,private treaty,2250000,4,3,0,990,Kay & Burton Flinders,-38.3782392,145.0338808,63.04070528
59744,21 Clydebank Road ,ESSENDON WEST VIC 3040,ESSENDON WEST,VIC,3040,House,23-Mar-22,private treaty,1575000,5,3,3,990,Jellis Craig Moonee Valley,-37.7539143,144.8882751,9.398257073
59747,48 Thomas Street ,HAMPTON VIC 3188,HAMPTON,VIC,3188,House,28-Feb-15,auction,2210000,4,4,2,990,Belle Property Sandringham,-37.93912,145.0071712,14.42020905
59748,28 Coster Street ,ALEXANDRA VIC 3714,ALEXANDRA,VIC,3714,House,14-Oct-21,private treaty,405000,3,2,3,990,UNKNOWN,-37.1960382,145.7085458,95.15097551
59750,54 edrington park drive ,BERWICK VIC 3806,BERWICK,VIC,3806,House,16-Dec-21,private treaty,1200000,4,2,2,991,Ray White Berwick,-38.0412509,145.3554703,42.68994552
59753,44 Morton Crescent ,BITTERN VIC 3918,BITTERN,VIC,3918,House,29-Mar-22,private treaty,620000,3,2,1,991,UNKNOWN,-38.343494,145.1778491,61.79936925
59754,43 Strachan Avenue ,MANIFOLD HEIGHTS VIC 3218,MANIFOLD HEIGHTS,VIC,3218,House,5-Mar-22,auction,1300000,3,1,2,991,Whitford,-38.1357923,144.3326236,65.84727884
59755,63 Kelway Crescent ,ELTHAM NORTH VIC 3095,ELTHAM NORTH,VIC,3095,House,7-Aug-21,auction,1625000,4,2,2,991,Jellis Craig Eltham,-37.7037818,145.1355639,19.51249642
59757,334-344 Drummond Street ,CARLTON VIC 3053,CARLTON,VIC,3053,House,19-Jul-17,private treaty,4884000,2,3,8,992,Jellis Craig Fitzroy,-37.800651,144.9685789,1.582347867
59758,28 Arthurs Avenue ,MCCRAE VIC 3938,MCCRAE,VIC,3938,House,8-Nov-21,private treaty,1225000,3,1,1,992,UNKNOWN,-38.3506181,144.9391077,59.70089054
59759,273 Lawrence Road ,MOUNT WAVERLEY VIC 3149,MOUNT WAVERLEY,VIC,3149,House,5-Apr-17,auction,1850000,5,2,2,992,Barry Plant Monash,-37.878883,145.1407185,17.17424153
59761,9 Ludeman Court ,RESERVOIR VIC 3073,RESERVOIR,VIC,3073,House,3-Sep-21,auction,1200000,3,1,4,992,     Love & Co,-37.6989007,145.0015822,13.26423615
59762,7 Jabiru Court ,LARA VIC 3212,LARA,VIC,3212,House,13-May-22,private treaty,1350000,5,4,6,993,Ray White Lara,-38.0296079,144.3871655,55.9306692
59764,3 Rocke Street ,IVANHOE VIC 3079,IVANHOE,VIC,3079,House,22-Feb-20,private treaty,2340000,4,2,1,993,Miles Real Estate Ivanhoe,-37.7725092,145.0402487,8.211786154
59765,9 Dixon Court ,BRIAR HILL VIC 3088,BRIAR HILL,VIC,3088,House,9-May-22,private treaty,1120000,4,3,2,993,Jellis Craig Greensborough,-37.7009648,145.1176417,18.52665371
59766,39 South Crescent ,EILDON VIC 3713,EILDON,VIC,3713,House,7-Apr-20,private treaty,300000,3,2,2,993,UNKNOWN,-37.2382829,145.8996028,104.5347011
59767,31 Pine Street ,BRIGHTON EAST VIC 3187,BRIGHTON EAST,VIC,3187,House,17-Oct-15,auction,2320000,4,2,0,993,Hodges Real Estate Brighton,-37.9195458,145.0058087,12.29960434
59768,13 Robinson Street ,BRIGHTON EAST VIC 3187,BRIGHTON EAST,VIC,3187,House,12-Jun-16,private treaty,1960000,5,2,2,993,Marshall White Bayside,-37.9186047,145.0186579,12.59215244
59769,655 Nepean Highway ,CARRUM VIC 3197,CARRUM,VIC,3197,House,31-Dec-21,private treaty,4350000,5,5,3,994,Barry Plant Bayside,-38.0730874,145.1217307,31.97759646
59770,22 Darkan Court ,ELTHAM VIC 3095,ELTHAM,VIC,3095,House,3-Nov-21,private treaty,1530000,4,2,3,994,Morrison Kleeman Estate Agents,-37.6989981,145.1728785,22.45834384
59772,314 Melbourne Road ,BLAIRGOWRIE VIC 3942,BLAIRGOWRIE,VIC,3942,House,17-Jul-21,auction,1830000,4,4,0,995,Jellis Craig Sorrento,-38.3581868,144.757599,63.12519146
59773,15 Clifton Court ,SOMERS VIC 3927,SOMERS,VIC,3927,House,23-Sep-21,private treaty,1485000,4,3,2,995,UNKNOWN,-38.3930009,145.1791033,67.09507383
59774,5 Craigie Road ,MOUNT MARTHA VIC 3934,MOUNT MARTHA,VIC,3934,House,27-Feb-22,private treaty,2220000,4,2,2,995,Bonaccorde Property Services,-38.2571334,145.0419442,49.74657717
59775,24 Camelia Grove ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,House,18-Jan-22,private treaty,1475000,4,2,3,995,Finning First National  ,-37.9703649,145.077524,20.06067005
59776,52 Aroona Road ,CAULFIELD NORTH VIC 3161,CAULFIELD NORTH,VIC,3161,House,27-Oct-19,auction,3705000,5,4,3,995,Halfapercent Real Estate in association with Noble House Property Agents,-37.8766919,145.0126942,8.19864102
59777,4 York Avenue ,IVANHOE EAST VIC 3079,IVANHOE EAST,VIC,3079,House,5-Mar-16,auction,2250000,5,3,4,995,Nelson Alexander Ivanhoe,-37.770095,145.0520794,9.228889676
59778,4 Darwala Place ,GREENSBOROUGH VIC 3088,GREENSBOROUGH,VIC,3088,House,11-Mar-21,private treaty,1350000,4,3,2,995,Morrison Kleeman Estate Agents,-37.6983819,145.127716,19.37576442
59779,47 Middleborough Road ,BURWOOD VIC 3125,BURWOOD,VIC,3125,House,12-Mar-22,private treaty,1888889,6,3,2,996,Scott Kim Real Estate,-37.8531922,145.1321305,15.46385328
59780,9 Monte Carlo Court ,GREENVALE VIC 3059,GREENVALE,VIC,3059,House,9-Oct-21,auction,1166000,5,2,8,996,Ray White Gladstone Park,-37.6583958,144.9041874,18.09171571
